SMILES,logSolubility
Cn1c(=O)n(C)c2nc[nH]c2c1=O,-1.39
CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,-4.15
CC34CCC1C(CC=C2CC(O)CCC12C)C3CCC4=O,-4.12
CC(=O)Nc1nnc(s1)S(N)(=O)=O,-2.36
O=c1[nH]cnc2nc[nH]c12,-2.296
CCCC1CCCC1,-4.74
ClCC(C)C,-2.0
CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,-2.281
COC(=O)C,0.46
CCCCc1c(C)nc(nc1O)N(C)C,-2.24
O=C1CNC(=O)N1,-0.4
Cc1cccc(C)c1,-2.82
Fc1c[nH]c(=O)[nH]c1=O,-1.077
c2ccc1[nH]nnc1c2,-0.78
Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O,-4.7
CBr,-0.79
c1ccc(cc1)c2ccc(cc2)c3ccccc3,-7.11
Clc1ccc(cc1Cl)c2ccccc2,-6.39
Cc2ncc1nccnc1n2,-0.12
C/C=C/C=O,0.32
CCCCCCCCCCCCCCCCCCCC,-8.172
Brc1ccccc1,-2.55
CCN2c1nc(C)cc(C(F)(F)F)c1NC(=O)c3cccnc23,-4.207
CC(C)C(C)C(C)C,-4.8
ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,-6.29
CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.661
CN(C)C(=O)C,1.11
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.017000000000001
CC/C=C/C,-2.54
ClC1(C(=O)C2(Cl)C3(Cl)C14Cl)C5(Cl)C2(Cl)C3(Cl)C(Cl)(Cl)C45Cl,-5.259
CC=C(C)C,-2.56
c1ccsc1,-1.33
OC1C(O)C(O)C(O)C(O)C1O,0.35
CCc1ccccc1CC,-3.28
NC(=N)NS(=O)(=O)c1ccc(N)cc1,-1.99
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,-6.96
Nc1ccc(cc1)N(=O)=O,-2.37
COc1ccccc1Cl,-2.46
o1c2ccccc2c3ccccc13,-4.6
c1nccc(C(=O)NN)c1,0.009
CCCCCl,-2.03
C1CCC2CCCCC2C1,-5.19
CCCC(=O)OC,-1.92
CCCCCCC(=O)C,-2.05
NC(=O)CCl,-0.02
OC(CC(c1ccccc1)c3c(O)c2ccccc2oc3=O)c4ccc(cc4)c5ccc(Br)cc5,-4.445
COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C,-1.601
CC(C)Cc1ccccc1,-4.12
CCCCSP(=O)(SCCCC)SCCCC,-5.14
COC=O,0.58
O=C1NC(=O)NC(=O)C1(CC)CC=C,-1.614
CCN2c1ncccc1N(C)C(=S)c3cccnc23,-4.634
COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,-6.237
CCCCCCCC#C,-4.24
Cc1ccc(C)cc1,-2.77
COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,-2.28
Nc1ccc(cc1)c2ccc(N)cc2,-2.7
CCCCC(=O)C,-0.8
CCC(=O)C,0.52
CCCCC(=O)CCCC,-2.58
Sc1nccc(=O)[nH]1,-2.273
C1SC(=S)NC1(=O),-1.77
ClC2=C(Cl)C3(Cl)C1C=CCC1C2(Cl)C3(Cl)Cl,-5.64
N#Cc1ccccc1,-1.0
CCCCC(CC)C=O,-2.13
CCCC(=O)CC,-0.83
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.8
CCC(C)c1cc(cc(N(=O)=O)c1O)N(=O)=O,-3.38
CCSCCSP(=S)(OC)OC,-3.091
CCC(C)CO,-0.47
CCI,-1.6
Oc1c(Cl)c(Cl)cc(Cl)c1Cl,-3.37
O=Cc2ccc1OCOc1c2,-1.63
Brc1cc(Br)cc(Br)c1,-5.6
CCO,1.1
CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C,-5.66
NS(=O)(=O)c3cc2c(NC(Cc1ccccc1)NS2(=O)=O)cc3C(F)(F)F,-3.59
COc1ccc(cc1)C(O)(C2CC2)c3cncnc3,-2.596
CC(C)NC(=O)N1CC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2,-4.376
CCCCCC(=O)OCC,-2.35
Oc1ccc(Br)cc1,-1.09
CCOC(=O)Nc2cccc(OC(=O)Nc1ccccc1)c2,-4.632
CC12CCC(CC1)C(C)(C)O2,-1.74
CC12CC2(C)C(=O)N(C1=O)c3cc(Cl)cc(Cl)c3,-4.8
CC34CCC1C(=CCc2cc(O)ccc12)C3CCC4=O,-5.282
CCCCCCCCCCCC(=O)OC,-4.69
O=C1N(C2CCC(=O)NC2=O)C(=O)c3ccccc13,-2.676
CC34CCC1C(CCC2=CC(=O)CCC12O)C3CCC4(O)C#C,-4.57
COC1=CC(=O)CC(C)C13Oc2c(Cl)c(OC)cc(OC)c2C3=O,-3.2460000000000004
CCSCC,-1.34
CC(=O)N,1.58
CN(C)C(=O)Nc1ccc(c(Cl)c1)n2nc(oc2=O)C(C)(C)C,-4.328
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,-2.523
CI,-1.0
Oc1cccc(c1)N(=O)=O,-1.01
ClC(=C(Cl)C(=C(Cl)Cl)Cl)Cl,-4.92
CC(C)=CCCC(C)=CC(=O),-2.06
O=N(=O)c1ccc(cc1)N(=O)=O,-3.39
Cn1ccc(=O)[nH]c1=O,-0.807
OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,-0.244
CCNC(=S)NCC,-1.46
c1ccc2cnccc2c1,-1.45
CCC(C)CCO,-0.71
CC(=O)Nc1ccc(Cl)cc1,-2.843
CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O,-4.13
CC(C)(C)c1ccccc1,-3.66
c1c(Cl)cccc1c2ccccc2,-4.88
c1(OC)ccc(CC=C)cc1,-2.92
BrC(Br)Br,-1.91
Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,-3.094
C1Cc2cccc3cccc1c23,-4.63
CC(C)CC(C)C,-4.26
CC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C,-5.184
CCCCCC,-3.84
OC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,-5.46
O=C1CCCN1,1.07
c1cc2ccc(OC)c(CC=C(C)(C))c2oc1=O,-4.314
Clc1ccccc1N(=O)=O,-2.55
COc2ncc1nccnc1n2,-1.11
Nc1nc(=O)[nH]cc1F,-0.972
C1c2ccccc2c3ccc4ccccc4c13,-6.68
c1c(O)C2C(=O)C3cc(O)ccC3OC2cc1(OC),-2.943
CCCOCC,-0.66
Cc1cc(C)cc(C)c1,-3.4
Cc1ccccc1N,-2.21
Oc1ccc(cc1)c2ccccc2,-3.48
CCOP(=S)(OCC)Oc1ccc(cc1)N(=O)=O,-4.66
Nc1ccc(O)cc1,-0.8
Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,-7.25
COc1ccc(C=O)cc1,-1.49
c2ccc1ocnc1c2,-1.16
CC(C)CCO,-0.51
NS(=O)(=O)c2cc1c(NC(NS1(=O)=O)C(Cl)Cl)cc2Cl,-2.68
Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl,-7.43
CCCC(O)CC,-0.8
O=C2NC(=O)C1(CCCCC1)C(=O)N2,-3.06
CCCCCC(C)(C)O,-1.72
COc1ccccc1N(=O)=O,-1.96
CCCCC(C)O,-0.89
c2ccc1[nH]ccc1c2,-1.52
c1ccncc1,0.76
CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.176
CN(C)C(=O)NC1CCCCCCC1,-2.218
CCCCC(=O)OCC,-2.25
ClC(Cl)C(Cl)Cl,-1.74
CCCCC,-3.18
CC(C)c1ccccc1C,-3.76
CCOC=O,0.15
Cc1cccc2c(C)cccc12,-4.678999999999999
CCNc1nc(NC(C)(C)C)nc(SC)n1,-4.0
CC(C)OC=O,-0.63
CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)C=CC1(C)C2C(O)CC34C,-4.37
CCCOC(=O)c1ccc(N)cc1,-2.452
CCCCCc1ccccc1,-4.64
CCCC(C)(O)CC,-0.98
CO,1.57
Cc1cccc(C)c1C,-3.2
CCC1(C(C)C)C(=O)NC(=O)NC1=O,-2.21
CCOc1ccccc1,-2.33
CCOC(=O)CC,-0.66
CCOP(=S)(OCC)SCSCC,-4.11
CC1(C)C2CCC1(C)C(O)C2,-2.32
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.59
ClC(Cl)Cl,-1.17
NC(=S)N,0.32
Clc1cccc(Cl)c1c2c(Cl)cccc2Cl,-7.39
COC(=O)c1cc(O)c(O)c(O)c1,-1.24
OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F,-1.8
Nc2cccc3nc1ccccc1cc23,-4.22
Brc1ccc(I)cc1,-4.56
CNC(=O)Oc1cccc2ccccc12,-3.224
Cc1ncc(N(=O)=O)n1CCO,-1.22
CCCCC(=O)OC,-1.34
COc1ccccc1,-1.85
N#Cc1ccccc1C#N,-2.38
Oc1cc(Cl)cc(Cl)c1,-1.34
CCC(C)(C)C,-3.55
CC(OC(=O)Nc1cccc(Cl)c1)C#C,-2.617
NS(=O)(=O)c2cc1c(N=CNS1(=O)=O)cc2Cl,-3.05
CC(=O)Nc1ccc(Br)cc1,-3.083
CCCC(C)O,-0.29
Brc1cccc(Br)c1,-3.54
c1ccoc1,-0.82
CCCC/C=C/C,-3.82
COc2cc1c(N)nc(nc1c(OC)c2OC)N3CCN(CC3)C(=O)OCC(C)(C)O,-3.638
