smiles,logSolubility
CN(C)c1ccccc1,-1.92
CN(C)C(=S)SSC(=S)N(C)C,-3.9
CCOc2ccc1nc(sc1c2)S(N)(=O)=O,-3.81
Oc2ccc1CCCCc1c2,-1.99
Cn1cnc2n(C)c(=O)n(C)c(=O)c12,-0.8759999999999999
CC1=CC(=O)CC(C)(C)C1,-1.06
CCCCc1c(C)nc(NCC)[nH]c1=O,-3.028
Cc1ccc2ccccc2c1,-3.77
CC12CCC(CC1)C(C)(C)O2,-1.74
Clc2ccc1oc(=O)[nH]c1c2,-2.8310000000000004
ClC(=C(Cl)Cl)Cl,-2.54
NC(=O)c1cccnc1,0.61
CCCCCCCCCO,-3.01
CC(C)=CCCC(O)(C)C=C,-1.99
CCCCC(C)(O)CC,-1.6
CCCCSP(=O)(SCCCC)SCCCC,-5.14
CC(=O)C(C)(C)C,-0.72
OC(c1ccc(Cl)cc1)(c2cncnc2)c3ccccc3Cl,-4.38
Clc1ccc(cc1Cl)c2ccccc2,-6.39
O=c2c(C3CCCc4ccccc43)c(O)c1ccccc1o2,-2.84
Clc1cccc(Cl)c1c2ccccc2,-5.21
CCOC(C)OCC,-0.43
Cc1ccc(O)cc1C,-1.38
O=C1CCCCC1,-0.6
NS(=O)(=O)c2cc1c(NCNS1(=O)=O)cc2Cl,-2.63
NNc1ccccc1,0.07
c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,-5.64
CCCC(C)C,-3.74
Cc1ccc(N)cc1,-1.21
CC,-1.36
CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,-3.4930000000000003
Oc1ccc(c(O)c1)c3oc2cc(O)cc(O)c2c(=O)c3O,-3.083
O=C1NC(=O)NC(=O)C1(CC)CC,-2.4
Oc1cccc(Cl)c1,-0.7
c1ccc2cc3c4cccc5cccc(c3cc2c1)c45,-8.49
c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,-8.699
CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc12,-4.883
Clc1ccccc1Br,-3.19
COc1nc(NC(C)C)nc(NC(C)C)n1,-2.478
Nc1nc(O)nc2nc[nH]c12,-3.401
CSc1nc(nc(n1)N(C)C)N(C)C,-2.676
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3.896
Clc1cccc(Br)c1,-3.21
C=CCCC=C,-2.68
Fc1c[nH]c(=O)[nH]c1=O,-1.077
c1cc2ccc3ccc4ccc5ccc6ccc1c7c2c3c4c5c67,-9.332
OC1CCCCCCC1,-1.29
Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,-9.16
CNc1ccccc1,-1.28
CCCOCCC,-1.62
CCCCCc1ccccc1,-4.64
CCC(C)O,0.47
O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,-4.593999999999999
ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,-6.317
O=C(C=CC=Cc2ccc1OCOc1c2)N3CCCCC3,-3.46
Oc1cc(Cl)ccc1Oc2ccc(Cl)cc2Cl,-4.46
CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2,-4.5760000000000005
CC(C)c1ccc(NC(=O)N(C)C)cc1,-3.536
CN(C)C=Nc1ccc(Cl)cc1C,-2.86
CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-4.77
O=C1N(COC(=O)C)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.47
CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,-3.68
CC34CCC1C(CCc2cc(O)ccc12)C3CCC4(O)C#C,-4.3
CC(C)Cl,-1.41
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.64
CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,-4.862
CCCCCCC#C,-3.66
CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3,-2.696
CC1CCCCC1NC(=O)Nc2ccccc2,-4.11
CCc1ccccc1CC,-3.28
COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,-6.237
CN(C)C(=O)Nc1ccccc1,-1.6
c1ccsc1,-1.33
c1ccc2c(c1)c3ccccc3c4ccccc24,-6.726
CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CC(O)C5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C,-4.081
c2c(C)cc1nc(C)ccc1c2,-1.94
CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,-3.43
Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Cl)ccc2n34,-4.09
O=N(=O)OCC(CON(=O)=O)ON(=O)=O,-2.22
C=CC=C,-1.87
CC(=O)Nc1ccccc1,-1.33
CCC(C)(C)C,-3.55
O2c1ccc(N)cc1N(C)C(=O)c3cc(C)ccc23,-3.928
CN(C)C(=O)C(c1ccccc1)c2ccccc2,-2.98
ClCCCCl,-1.62
Cc1ccc(Cl)cc1,-3.08
CC(C)(C)c1ccccc1,-3.66
O=Cc1ccco1,-0.1
COCOC,0.48
CN2C(=O)CN=C(c1ccccc1)c3cc(ccc23)N(=O)=O,-3.796
CCCN(=O)=O,-0.8
CCOP(=S)(OCC)Oc1ccc(cc1)N(=O)=O,-4.66
Oc1ccc(Cl)cc1Cl,-1.55
C1CCc2ccccc2C1,-4.37
Oc1cc(Cl)c(Cl)cc1Cl,-2.21
Clc1cccc(I)c1,-3.55
CCCCC1C(=O)N(N(C1=O)c2ccc(O)cc2)c3ccccc3,-3.73
Cc1cc2c3ccccc3ccc2c4ccccc14,-6.57
O=C1N(C2CCC(=O)NC2=O)C(=O)c3ccccc13,-2.676
CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,-2.281
CCC#N,0.28
ClC(Cl)C(Cl)(Cl)Cl,-2.6
ClC(Cl)(Cl)N(=O)=O,-2.0
CCCCC(=O)CCCC,-2.58
CC1=CCC(CC1)C(C)=C,-4.26
CCN(CC(C)=C)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,-6.124
CCCCC#C,-2.36
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.59
c1(C(=O)OCCCCCC(C)(C))c(C(=O)OCCCCCC(C)(C))cccc1,-6.6370000000000005
CCSSCC,-2.42
CCCCC(C)(C)O,-1.08
CC(C)C=C,-2.73
CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C,-4.65
CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2CC(C)(C)Oc21)C(C)C,-4.71
Cc1ccc(cc1N(=O)=O)N(=O)=O,-2.82
c1ccc2c3c(ccc2c1)c4cccc5cccc3c45,-8.0
CCCCCCl,-2.73
O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23,-3.043
CC(C)CC(C)(C)C,-4.74
CC(=O)N(S(=O)c1ccc(N)cc1)c2onc(C)c2C,-3.59
ClCC(C)C,-2.0
CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.4
CCN(CC)c1nc(Cl)nc(n1)N(CC)CC,-4.4110000000000005
Cc1ccc(O)c(C)c1,-1.19
CCCCCCCCC,-5.88
COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,-6.89
c2ccc1ocnc1c2,-1.16
CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23,-6.005
CCOC(=O)Nc2cccc(OC(=O)Nc1ccccc1)c2,-4.632
CCCCCCCBr,-4.43
CCCCCCCCCC(C)O,-2.94
CC=C,-1.08
Oc1ccc(C=O)cc1,-0.96
O=C2NC(=O)C1(CCCCCC1)C(=O)N2,-3.168
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,-6.96
c1ccc2cc3cc4ccccc4cc3cc2c1,-8.6
CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)CCC1(C)C2C(=O)CC34C,-4.21
ClCCBr,-1.32
COP(=S)(OC)Oc1ccc(cc1Cl)N(=O)=O,-4.31
CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)C=CC1(C)C2C(O)CC34C,-4.37
OC1CCCCC1,-0.44
C1C=CCC=C1,-2.06
c1cc2ccc3cccc4ccc(c1)c2c34,-6.176
Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,-7.15
CC(=O)OC3(CCC4C2CCC1=CC(=O)CCC1C2CCC34C)C#C,-4.8
CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2,-4.43
CCCC1C(=O)N3N(C1=O)c2cc(C)ccc2N=C3N(C)C,-3.5380000000000003
FC(F)(F)C(Cl)Br,-1.71
Nc1ccc(cc1)S(N)(=O)=O,-1.34
CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C,-1.877
Cc1c(cccc1N(=O)=O)N(=O)=O,-3.0
Clc1cccc(c1)c2cc(Cl)ccc2Cl,-6.01
Oc1c(I)cc(C#N)cc1I,-3.61
CCC(CC)C=O,-1.52
CC(=O)Nc1nnc(s1)S(N)(=O)=O,-2.36
COc2c1occc1cc3ccc(=O)oc23,-3.664
Sc1nccc(=O)[nH]1,-2.273
CCCC(=O)CCC,-1.3
CC(=O)Nc1ccc(Cl)cc1,-2.843
Cc1ccc(cc1)S(=O)(=O)N,-1.74
CCBr,-1.09
ClCBr,-0.89
Clc1ccc(I)cc1,-4.03
CCCOCC,-0.66
BrC(Br)Br,-1.91
CCCc1ccccc1,-3.37
CCCCCCCC,-5.24
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc2cccc(Oc3ccccc3)c2,-6.291
Clc2c(Cl)c(Cl)c(c1ccccc1)c(Cl)c2Cl,-7.92
CCCCOC=O,-1.37
CCCC(O)CCC,-1.4
CCOP(=S)(OCC)SCSCC,-4.11
CC(C)CO,0.1
CC(C)=CCCC(C)=CC(=O),-2.06
CC(=C)C=C,-2.03
c1ccc2c(c1)sc3ccccc23,-4.38
O=N(=O)c1ccccc1,-1.8
CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl,-4.88
CCCC#C,-1.64
Nc2cccc3nc1ccccc1cc23,-4.22
CN(C)C(=O)Nc1ccc(c(Cl)c1)n2nc(oc2=O)C(C)(C)C,-4.328
O=C1NC(=O)NC(=O)C1(C)CC,-1.228
CCCCl,-1.47
O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.523
NC(=S)N,0.32
COc1ccc(cc1)C(O)(C2CC2)c3cncnc3,-2.596
CC(C)C1CCC(C)CC1=O,-2.35
ClC(Cl)Cl,-1.17
CCOP(=S)(OCC)SCCSCC,-4.23
ClCC(Cl)(Cl)Cl,-2.18
CCOC(=O)CC,-0.66
O=C1NC(=O)NC(=O)C1(CC)CC=C,-1.614
CCCCC(=O)C,-0.8
CCOC(=O)N,0.85
CCCCCCCCCC(=O)OC,-4.69
Clc1cccc(Cl)c1,-3.04
Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl,-7.21
c1c(O)C2C(=O)C3cc(O)ccC3OC2cc1(OC),-2.943
CC1(C)C2CCC1(C)C(O)C2,-2.32
O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.301
CCC(CC)CO,-1.17
Oc1cc(Cl)cc(Cl)c1Cl,-2.67
Oc1c(Cl)ccc(Cl)c1Cl,-2.64
CCc1ccc(CC)cc1,-3.75
c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl),-5.43
CCCC(C)(COC(N)=O)COC(N)=O,-1.807
COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,-2.28
Cc1cc(C)cc(C)c1,-3.4
